Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1520; Xiaomi; Redmi Note 7; lavender; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 280dpi; 720x1280; Samsung; Galaxy J5; j5lte; samsungexynos7580; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 480dpi; 1080x2400; OnePlus; OnePlus 8; oneplus8; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 320dpi; 720x1440; Huawei; P20 Lite; ane-lx1; kirin659; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 400dpi; 1080x2160; Google; Pixel 4a; sunfish; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1520; Oppo; A5 2020; CPH1933; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 480dpi; 1080x2340; Vivo; V21; vivo1921; mt6873; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (27/8; 320dpi; 720x1280; LG; K10; m1ds; mt6737; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 420dpi; 1080x2280; Sony; Xperia XZ2; h8216; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 320dpi; 720x1440; Asus; Zenfone Max Pro M1; X00TD; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 440dpi; 1080x2248; Huawei; Mate 20 Pro; lya-l29; kirin980; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 480dpi; 1080x2160; Samsung; Galaxy S9+; star2qlte; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 320dpi; 720x1560; Realme; Realme C2; RMX1941; mt6762; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 420dpi; 1080x2160; LG; G7 ThinQ; judyln; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 400dpi; 1080x2400; Motorola; Edge 20; kyoto; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 480dpi; 1080x2340; Nokia; 7.2; DRG_sprout; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (27/8; 320dpi; 720x1440; ZTE; Blade A7; P963F23; mt6761; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 480dpi; 1080x2340; Vivo; Y20; vivo2021; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 440dpi; 1080x2280; Xiaomi; Mi 8 Lite; platina; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 480dpi; 1080x2400; Samsung; Galaxy A50; a50; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 400dpi; 1080x2160; Huawei; Honor 10; col-l29; kirin970; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 320dpi; 720x1560; Oppo; A53; CPH2127; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 420dpi; 1080x2160; Sony; Xperia 1; j9110; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 320dpi; 720x1520; Xiaomi; Redmi Note 8; ginkgo; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 400dpi; 1080x2280; Samsung; Galaxy S10e; beyond0lte; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 480dpi; 1080x2340; Realme; Realme 6 Pro; RMX2061; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 420dpi; 1080x2246; Asus; ROG Phone; ZS600KL; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 480dpi; 1080x2400; Vivo; X50 Pro; vivo2004; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (27/8; 400dpi; 1080x2160; LG; V40 ThinQ; judypn; qcom; en_US; 352344132)  
